ID	DOCULECT	CONCEPT	VALUE	SEGMENTS	STRUCTURE	BENZI	CHARACTERS	COGNATE_SET	COGNATE_SETS
675	Fuzhou	Mid-autumn Festival	pɛiʔ²⁴⁻²¹ŋuoʔ⁵sɛiʔ⁵⁻²¹ŋou²⁴²	p ɛ i ʔ ²⁴/²¹ + ŋ u o ʔ ⁵ + s ɛ i ʔ ⁵/²¹ + ŋ o u ²⁴²	i n N c t + i m n c t + i n N c t + i n N t	八月十五	八月十五	153	0
676	Jian'ou	Mid-autumn Festival	kua³³tœyŋ⁵⁴ʦʰiu⁵⁴	k u a ³³ + t œ y ŋ ⁵⁴ + tsʰ i u ⁵⁴	i m n t + i n N c t + i m n t	过中秋	过中秋	155	0
677	Jian'ou	Mid-autumn Festival	pai²⁴ŋyɛ⁴²tœyŋ⁵⁴ʦʰiu⁵⁴	p a i ²⁴ + ŋ y ɛ ⁴² + t œ y ŋ ⁵⁴ + tsʰ i u ⁵⁴	i n N t + i m n t + i n N c t + i m n t	八月中秋	八月中秋	156	0
678	Shantou	Mid-autumn Festival	toŋ³³ʦʰiu³³	t o ŋ ³³ + tsʰ i u ³³	i n c t + i m n t	中秋	中秋	150	0
679	Haikou	Mid-autumn Festival	ʔbi⁵⁵vue³³ʦe⁵⁵	ʔb i ⁵⁵ + v u e ³³ + ts e ⁵⁵	i n t + i m n t + i n t	八月节	八月节	154	0
680	Haikou	Mid-autumn Festival	ʔbi⁵⁵vue³³tap³ŋɔu³³	ʔb i ⁵⁵ + v u e ³³ + t a p ³ + ŋ ɔ u ³³	i n t + i m n t + i n c t + i n N t	八月十五	八月十五	153	0
681	Haikou	Mid-autumn Festival	toŋ²³siu²³	t o ŋ ²³ + s i u ²³	i n c t + i m n t	中秋	中秋	150	0
682	Taibei	Mid-autumn Festival	tiɔŋ⁴⁴⁻³³ʦʰiu⁴⁴⁻³³ʦieʔ³²	t i ɔ ŋ ⁴⁴/³³ + tsʰ i u ⁴⁴/³³ + ts i e ʔ ³²	i m n c t + i m n t + i m n c t	中秋节	中秋节	151	0
683	Meixian	Mid-autumn Festival	ʦuŋ⁴⁴ʦʰiu⁴⁴⁻³⁵ʦiet¹	ts u ŋ ⁴⁴ + tsʰ i u ⁴⁴/³⁵ + ts i e t ¹	i n c t + i m n t + i m n c t	中秋节	中秋节	151	0
684	Taoyuan	Mid-autumn Festival	pɑt²²ŋiet⁵⁵pɑn⁵⁵	p ɑ t ²² + ŋ i e t ⁵⁵ + p ɑ n ⁵⁵	i n c t + i m n c t + i n c t	八月半	八月半	152	0
685	Nanchang	Mid-autumn Festival	ʦuŋ⁴²ʨʰiu⁴²	ts u ŋ ⁴² + tɕʰ i u ⁴²	i n c t + i m n t	中秋	中秋	150	0
686	Nanchang	Mid-autumn Festival	ʦuŋ⁴²ʨʰiu⁴²ʨiɛʔ⁵	ts u ŋ ⁴² + tɕʰ i u ⁴² + tɕ i ɛ ʔ ⁵	i n c t + i m n t + i m n c t	中秋节	中秋节	151	0
687	Changsha	Mid-autumn Festival	t͡ʂoŋ³³ʦʰiəu³³ʦie²⁴	ʈʂ o ŋ ³³ + tsʰ i ə u ³³ + ts i e ²⁴	i n c t + i m n N t + i m n t	中秋节	中秋节	151	0
