OurUnicodeZi	MCascii	Mandarin	PubFull	PubPre	PubIni	PubMed	PubFin	PubSuf	GSRindexStr	OurUnicode	OurGloss
蒸	tsying	zheng1	*təŋ		t		əŋ		0896k	U+84B8	twigs as firewood
貞	trjeng	zhen1	*treŋ		t	r	eŋ		0834g	U+8C9E	straight; correct
貞	trjeng	zhen1	*treŋ		t	r	eŋ		0834g	U+8C9E	divine (v.)
漸	tsjem	jian1	*[ts]am		[ts]		am		0611f	U+6F38	moisten
勺	tsyak	zhuo2	*tewk		t		ewk		1120a	U+52FA	ladle (v.)
擢	draewk	zhuo2	*lˤrewk		lˤ	r	ewk		1124g	U+64E2	pull out, select
濯	draewk	zhuo2	*lˤrewk		lˤ	r	ewk		1124h	U+6FEF	wash
卓	traewk	zhuo1	*tˤrawk		tˤ	r	awk		1126a	U+5353	high; splendid
啄	traewk	zhuo2	*mə-tˤ<r>ok	mə-	tˤ	<r>	ok		1218b	U+5544	to peck
捉	tsraewk	zhuo1	*[ts](ˤ)rok		[ts](ˤ)	r	ok		1219e	U+6349	grasp (v.)
濁	draewk	zhuo2	*[N-tˤ]rok	[N-	tˤ]	r	ok		1224p	U+6FC1	muddy
叕	trjwet	zhuo2	*trot		t	r	ot		0295a	U+53D5	stitch
輟	trjwet	chuo4	*trot		t	r	ot		0295e	U+8F1F	stop, cease
拙	tsywet	zhuo1	*[t]ot		[t]		ot		0496i	U+62D9	stupid, inept
茁	tsrjwet	zhuo2	*s-[k]rot	s-	[k]	r	ot		0496j	U+8301	sprout (v.)
斫	tsyak	zhuo2	*tak		t		ak		0795k	U+65AB	cut, hack
斮	tsrjak	zhuo2	*[ts]rak		[ts]	r	ak		0798o	U+65AE	to cut off
祝	tsyuwH	zhou4	*[t]uk-s		[t]		uk	-s	1025a	U+795D	to curse
肘	trjuwX	zhou3	*t-[k]<r>uʔ	t-	[k]	<r>	uʔ		1073a	U+8098	elbow
疛	trjuwX	zhou3	*[t]ruʔ		[t]	r	uʔ		1073b	U+759B	pain in the intestines
酎	drjuwX	zhou4	*[d]ruʔ		[d]	r	uʔ		1073c	U+914E	new spirits made to ferment by addition of older spirits
晝	trjuwH	zhou4	*truk-s		t	r	uk	-s	1075a	U+665D	daytime
冑	drjuwH	zhou4	*[l]ru-s		[l]	r	u	-s	1079i	U+5191	helmet
舟	tsyuw	zhou1	*tu		t		u		1084a	U+821F	boat
州	tsyuw	zhou1	*tu		t		u		1086a	U+5DDE	islet in stream; province
咮	trjuwH	zhou4	*tˤ<r>ok-s		tˤ	<r>	ok	-s	0128u	U+54AE	beak
築	trjuwk	zhu4	*truk		t	r	uk		1019d	U+7BC9	pound earth, build
逐	drjuwk	zhu2	*[l]riwk		[l]	r	iwk		1022a	U+9010	pursue
祝	tsyuwk	zhu4	*tuk		t		uk		1025a	U+795D	cut off, break
祝	tsyuwk	zhu4	*[t]uk		[t]		uk		1025a	U+795D	pray, recite
軸	drjuwk	zhou2	*lruk		l	r	uk		1079p	U+8EF8	wheel-axle
鑄	tsyuH	zhu4	*tu-s		t		u	-s	1090a'	U+9444	to cast (a bronze vessel)
斗	tsyuX	zhu3	*toʔ		t		oʔ		0116a	U+6597	ladle
燭	tsyowk	zhu2	*tok		t		ok		1224e	U+71ED	torch
躅	drjowk	zhuo2	*[d]rok		[d]	r	ok		1224h	U+8E85	躑躅 stamp the feet
屬	tsyowk	zhu3	*tok		t		ok		1224s	U+5C6C	attach (v.t.)
馵	tsyuH	zhu4	*to(k)-s		t		o(k)	-s	1232a	U+99B5	horse with white left hind leg
壴	trjuH	zhu3	*t<r>oʔ-s		t	<r>	oʔ	-s	0127a	U+58F4	stand for musical instruments
朱	tsyu	zhu1	*to		t		o		0128a	U+6731	dwarf
朱	tsyu	zhu1	*to		t		o		0128a	U+6731	red
株	trju	zhu1	*tro		t	r	o		0128f	U+682A	tree root, stem
蛛	trju	zhu1	*tro		t	r	o		0128g	U+86DB	*tre-tro spider
誅	trju	zhu1	*tro		t	r	o		0128k	U+8A85	punish; kill
邾	trju	zhu1	*tro		t	r	o		0128m	U+90BE	(place name)
主	tsyuX	zhu3	*toʔ		t		oʔ		0129a	U+4E3B	master; host
注	trjuH	zhu4	*tro(ʔ)-s		t	r	o(ʔ)	-s	0129c	U+6CE8	to conduct water
拄	trjuX	zhu3	*t<r>oʔ		t	<r>	oʔ		0129e	U+62C4	prop up, support (v.)
住	drjuH	zhu4	*dro(ʔ)-s		d	r	o(ʔ)	-s	0129g	U+4F4F	stop (v.)
褚	trjoX	zhu3	*traʔ		t	r	aʔ		0045g	U+891A	to store, to heap
豬	trjo	zhu1	*tra		t	r	a		0045h	U+8C6C	pig
渚	tsyoX	zhu3	*taʔ		t		aʔ		0045k	U+6E1A	islet
煑	tsyoX	zhu3	*[t]aʔ		[t]		aʔ		0045l	U+7151	boil, cook
諸	tsyo	zhu1	*ta		t		a		0045p	U+8AF8	many
助	dzrjoH	zhu4	*[dz]ra-s		[dz]	r	a	-s	0046z	U+52A9	help (v.)
除	drjoH	zhu4	*lra-s		l	r	a	-s	0082m	U+9664	pass away
髽	tsrwae	zhua1	*[ts]ˤroj		[ts]ˤ	r	oj		0012g	U+9AFD	hair knot for mourning
錣	trwaet	chuo4	*tˤrot		tˤ	r	ot		0295j	U+9323	iron point at end of whip
茁	tsrweat	zhuo2	*s-[k]rot	s-	[k]	r	ot		0496j	U+8301	sprout (v.)
專	tsywen	zhuan1	*ton		t		on		0231a	U+5C08	exclusively
傳	trjwenH	zhuan4	*tron-s		t	r	on	-s	0231f	U+50B3	relay post
傳	drjwenH	zhuan4	*N-tron-s	N-	t	r	on	-s	0231f	U+50B3	what has been transmitted
撰	dzrjwenX	zhuan4	*[dz]ro[n]ʔ		[dz]	r	o[n]ʔ		0433g	U+64B0	create, invent
壯	tsrjangH	zhuang4	*[ts]<r>aŋ-s		[ts]	<r>	aŋ	-s	0727n	U+58EF	robust
妝	tsrjang	zhuang1	*[ts]raŋ		[ts]	r	aŋ		0727o	U+599D	adorn (Shuōwén)
莊	tsrjang	zhuang1	*[ts]raŋ		[ts]	r	aŋ		0727q	U+838A	dignified, grave
狀	dzrjangH	zhuang4	*[dz]raŋ-s		[dz]	r	aŋ	-s	0727s	U+72C0	form, appearance
叕	trjwejH	zhuo2	*trot-s		t	r	ot	-s	0295a	U+53D5	stitch (n.?)
捶	tsyweX	chui2	*tojʔ		t		ojʔ		0031i	U+6376	to beat
轛	trwijH	dui4	*[t]<r>u[t]-s		[t]	<r>	u[t]	-s	0511h	U+8F5B	wooden crosspieces under carriage box
懟	drwijH	dui4	*[d]r[u][p]-s		[d]	r	[u][p]	-s	0511i	U+61DF	ill-will
隊	drwijH	zhui4	*m.lru[t]-s	m.	l	r	u[t]	-s	0526f	U+968A	fall down, throw down
追	trwij	zhui1	*truj		t	r	uj		0543d	U+8FFD	pursue
隹	tsywij	zhui1	*tur		t		ur		0575a	U+96B9	a kind of bird
屯	trwin	zhun1	*trun		t	r	un		0427a	U+5C6F	difficult
淳	tsywinX	zhun3	*turʔ		t		urʔ		0464e	U+6DF3	measure of breadth (of cloth)
淳	tsywin	zhun1	*tur		t		ur		0464e	U+6DF3	moisten
準	tsywinX	zhun3	*turʔ		t		urʔ		0467d	U+6E96	water-level
終	tsyuwng	zhong1	*tuŋ		t		uŋ		1002e	U+7D42	end
仲	drjuwngH	zhong4	*N-truŋ-s	N-	t	r	uŋ	-s	1007f	U+4EF2	middle (of brothers)
忠	trjuwng	zhong1	*truŋ		t	r	uŋ		1007k	U+5FE0	loyal
眾	tsyuwngH	zhong4	*tuŋ-s		t		uŋ	-s	1010a	U+773E	numerous
潨	tsyuwng	zhong1	*tuŋ		t		uŋ		1010f	U+6F68	junction of two rivers
重	drjowngX	zhong4	*N-t<r>oŋʔ	N-	t	<r>	oŋʔ		1188a	U+91CD	heavy
種	tsyowngH	zhong4	*(mə-)toŋʔ-s	(mə-)	t		oŋʔ	-s	1188d	U+7A2E	sow (v.)
種	tsyowngX	zhong3	*k.toŋʔ	k.	t		oŋʔ		1188d	U+7A2E	seed
腫	tsyowngX	zhong3	*toŋʔ		t		oŋʔ		1188e	U+816B	swell, swollen; tumor
妐	tsyowng	zhong1	*t-qoŋ	t-	q		oŋ		1189a	U+5990	father-in-law
冢	trjowngX	zhong3	*[t]roŋʔ		[t]	r	oŋʔ		1218h	U+51A2	tomb mound
折	tsyet	zhe2	*tet		t		et		0287a	U+6298	bend; break (v.t.)
哲	trjet	zhe2	*tr[e]t		t	r	[e]t		0287c	U+54F2	wise
者	tsyaeX	zhe3	*tAʔ		t		Aʔ		0045a	U+8005	(nominalizing particle)
赭	tsyaeX	zhe3	*tAʔ		t		Aʔ		0045d	U+8D6D	red earth; red pigment
耴	trjep	zhe2	*t-nrep	t-	n	r	ep		0632a	U+8034	hanging ears (used as N.Pr.)
輒	trjep	zhe2	*[t]rep		[t]	r	ep		0632b	U+8F12	sides of a carriage box
懾	tsyep	zhe2	*[t.n][e]p	[t.	n]		[e]p		0638d	U+61FE	to fear
慹	tsyep	zhe2	*t-nep	t-	n		ep		0685h	U+6179	afraid; to fear
炙	tsyaeH	zhi4	*tAk-s		t		Ak	-s	0791a	U+7099	roast, broil
柘	tsyaeH	zhe4	*tAk-s		t		Ak	-s	0795l	U+67D8	a kind of mulberry tree
謫	dreak	zhe2	*m-tˤrek	m-	tˤ	r	ek		0877r	U+8B2B	blame, punish
謫	treak	zhe2	*C.tˤrek	C.	tˤ	r	ek		0877r	U+8B2B	blame (v.)
鄭	drjengH	zheng4	*[d]reŋ-s		[d]	r	eŋ	-s	0363e	U+912D	Zhèng (a surname)
觶	tsye	zhi1	*tar		t		ar		0147c'	U+89F6	ritual vessel
滯	drjejH	zhi4	*[d]r[a][t]-s		[d]	r	[a][t]	-s	0315b	U+6EEF	obstruct
彘	drjejH	zhi4	*[l]r[a][t]-s		[l]	r	[a][t]	-s	0334a	U+5F58	pig
制	tsyejH	zhi4	*tet-s		t		et	-s	0335a	U+5236	cut out, prepare
躑	drjek	zhi2	*[d]rek		[d]	r	ek		0363f	U+8E91	躑躅 stamp the feet
楖	tsrit	zhi4	*[ts]rik		[ts]	r	ik		0399d	U+6956	comb
至	tsyijH	zhi4	*ti[t]-s		t		i[t]	-s	0413a	U+81F3	arrive
致	trijH	zhi4	*t<r>i[t]-s		t	<r>	i[t]	-s	0413d	U+81F4	(cause to arrive): transmit
窒	trit	zhi4	*[t]ri[t]		[t]	r	i[t]		0413h	U+7A92	stop up (v.)
疐	trijH	zhi4	*[t-l]ri[t]-s	[t-	l]	r	i[t]	-s	0415a	U+7590	slip (v.)
質	tsyit	zhi4	*t-lit	t-	l		it		0493a	U+8CEA	substance, solid part
質	trijH	zhi4	*[t]<r>ip-s		[t]	<r>	ip	-s	0493a	U+8CEA	hostage; gift
旨	tsyijX	zhi3	*kijʔ		k		ijʔ		0552a	U+65E8	fine-tasting
指	tsyijX	zhi3	*mə.kijʔ	mə.	k		ijʔ		0552f	U+6307	finger; point
脂	tsyij	zhi1	*kij		k		ij		0552g	U+8102	fat, grease
雉	drijX	zhi4	*lr[i]jʔ		l	r	[i]jʔ		0560e	U+96C9	pheasant
稺	drijH	zhi4	*lrəj-s		l	r	əj	-s	0595g	U+7A3A	late-sown grain
執	tsyip	zhi2	*[t]ip		[t]		ip		0685a	U+57F7	seize
慹	tsyip	zhi2	*t-nip	t-	n		ip		0685h	U+6179	afraid, to fear
摯	tsyijH	zhi4	*[t]ip-s		[t]		ip	-s	0685k	U+646F	seize
汁	tsyip	zhi1	*[t.k][ə]p	[t.	k]		[ə]p		0686f	U+6C41	juice
輯	tsrip	ji2	*ts<r>[u]p		ts	<r>	[u]p		0688d	U+8F2F	collect (Jīngdiǎn shìwén)
炙	tsyek	zhi4	*tAk		t		Ak		0791a	U+7099	roast, broil
摭	tsyek	zhi2	*tAk		t		Ak		0804e	U+646D	pluck, select
知	trje	zhi1	*tre		t	r	e		0863a	U+77E5	know
智	trjeH	zhi4	*tre-s		t	r	e	-s	0863b	U+667A	knowledge
蜘	trje	zhi1	*tre		t	r	e		0863d	U+8718	*tre.tro spider
支	tsye	zhi1	*ke		k		e		0864a	U+652F	support, hold up
支	tsye	zhi1	*ke		k		e		0864a	U+652F	branch (of tree), limb
咫	tsyeX	zhi3	*keʔ		k		eʔ		0865d	U+54AB	foot (8 inches)
適	tsyek	shi4	*tek		t		ek		0877s	U+9069	go to
直	drik	zhi2	*N-t<r>ək	N-	t	<r>	ək		0919a	U+76F4	straight
稙	trik	zhi2	*trək		t	r	ək		0919b	U+7A19	earliest-sown grain
植	driH	zhi2	*m-t<r>ək-s	m-	t	<r>	ək	-s	0919e	U+690D	to plant, set upright
植	driH	zhi2	*N-t<r>ək-s	N-	t	<r>	ək	-s	0919e	U+690D	grow, flourish
置	triH	zhi4	*trək-s		t	r	ək	-s	0919g	U+7F6E	put, place; set upright
值	driH	zhi4	*m-t<r>ək-s	m-	t	<r>	ək	-s	0919h	U+503C	hold upright
戠	tsyik	shi4	*tək		t		ək		0920a	U+6220	adhere (?)
樴	tsyik	zhi2	*tək		t		ək		0920e	U+6A34	pole
職	tsyik	zhi2	*tək		t		ək		0920g	U+8077	duties of office
茝	tsyiX	zhi3	*t-qəʔ	t-	q		əʔ		0960i	U+831D	Iris
止	tsyiX	zhi3	*təʔ		t		əʔ		0961a	U+6B62	foot; stop
志	tsyiH	zhi4	*tə-s		t		ə	-s	0962e	U+5FD7	goal, intention, aspiration
殖	dzyik	zhi2	*m-tək	m-	t		ək		0919d	U+6B96	plant (v.)
殖	dzyik	zhi2	*N-tək	N-	t		ək		0919d	U+6B96	grow, flourish (v.)
恩	'on	en1	*ʔˤə[n]		ʔˤ		ə[n]		0370j	U+6069	kindness, favor
眼	ngonX	wen3	*ŋˤə[n]ʔ		ŋˤ		ə[n]ʔ		0416l	U+773C	protrude as a knob
貳	nyijH	er4	*ni[j]-s		n		i[j]	-s	0564g	U+8CB3	two
兒	nye	er2	*ŋe		ŋ		e		0873a	U+5152	child
餌	nyiH	er3	*[C.]nə(ʔ)-s	[C.]	n		ə(ʔ)	-s	0981h	U+990C	bait
而	nyi	er2	*nə		n		ə		0982a	U+800C	and, but
發	pjot	fa1	*Cə.pat	Cə.	p		at		0275c	U+767C	fly forth, send forth
髮	pjot	fa4	*pot		p		ot		0276i	U+9AEE	root; hair (of head)
乏	bjop	fa2	*[b](r)[o]p		[b]	(r)	[o]p		0641a	U+4E4F	lack (v.)
法	pjop	fa3	*[p.k]ap	[p.	k]		ap		0642k	U+6CD5	model, law
番	phjon	fan1	*pʰar		pʰ		ar		0195b	U+756A	a turn, a time
燔	bjon	fan2	*[b]ar		[b]		ar		0195i	U+71D4	burn, roast
蕃	bjon	fan2	*[b]ar		[b]		ar		0195m	U+8543	luxuriant (growth)
蕃	pjon	fan1	*par		p		ar		0195m	U+8543	hedge, screen, fence
八	peat	ba1	*pˤret		pˤ	r	et		0281a	U+516B	eight
飯	bjonH	fan4	*bo[n]ʔ-s		b		o[n]ʔ	-s	0262i	U+98EF	cooked rice or millet
飯	bjonX	fan4	*bo[n]ʔ		b		o[n]ʔ		0262i	U+98EF	eat
煩	bjon	fan2	*[b]a[n]		[b]		a[n]		0264a	U+7169	troubled
凡	bjom	fan2	*[b]rom		[b]	r	om		0625a	U+51E1	in every case
範	bjomX	fan4	*[b](r)omʔ		[b]	(r)	omʔ		0626d	U+7BC4	casting mold
范	bjomX	fan4	*[b](r)omʔ		[b]	(r)	omʔ		0626e	U+8303	(surname)
范	bjomX	fan4	*[m-pʰ](r)omʔ	[m-	pʰ]	(r)	omʔ		0626e	U+8303	bee
舫	pjangH	fang3	*paŋ-s		p		aŋ	-s	0740g	U+822B	boat
放	pjangX	fang3	*paŋʔ		p		aŋʔ		0740i	U+653E	imitate
放	pjangH	fang4	*paŋ-s		p		aŋ	-s	0740i	U+653E	release; let go
瓬	pjangX	fang3	*paŋʔ		p		aŋʔ		0740m	U+74EC	pottery
妨	phjang	fang2	*pʰaŋ		pʰ		aŋ		0740q	U+59A8	oppose
紡	phjangX	fang3	*pʰaŋʔ		pʰ		aŋʔ		0740r	U+7D21	twist, spin
芳	phjang	fang1	*[pʰ]aŋ		[pʰ]		aŋ		0740s	U+82B3	fragrant
訪	phjangH	fang3	*pʰaŋ-s		pʰ		aŋ	-s	0740t	U+8A2A	enquire, scrutinize
髣	phjangX	fang3	*pʰaŋʔ		pʰ		aŋʔ		0740u	U+9AE3	phjangX-phjut seem
坊	bjang	fang2	*[b]aŋ		[b]		aŋ		0740x	U+574A	dike
房	bjang	fang2	*[Cə-N-]paŋ	[Cə-N-]	p		aŋ		0740y	U+623F	side-room
匚	pjang	fang1	*paŋ		p		aŋ		0741a	U+531A	container, box (Shuōwén)
廢	pjojH	fei4	*pat-s		p		at	-s	0275f	U+5EE2	great
廢	pjojH	fei4	*[p-k]ap-s	[p-	k]		ap	-s	0275f	U+5EE2	cast aside
祓	pjojH	fei4	*po[t]-s		p		o[t]	-s	0276o	U+7953	expel noxious influences
吠	bjojH	fei4	*Cə.bo[t]-s	Cə.	b		o[t]	-s	0348a	U+5420	bark (v.)
怫	bj+jH	fu2	*[b][u]t-s		[b]		[u]t	-s	0500o	U+602B	grieved
昲	phj+jH	fei4	*pʰ[u]t-s		pʰ		[u]t	-s	0500r	U+6632	bake in the sun
費	phj+jH	fei4	*pʰ[u]t-s		pʰ		[u]t	-s	0500s	U+8CBB	squander
肺	phjojH	fei4	*pʰo[t]-s		pʰ		o[t]	-s	0501g	U+80BA	lung
朏	phj+jX	fei3	*pʰ[ə]jʔ		pʰ		[ə]jʔ		0530a	U+670F	new light of the moon
非	pj+j	fei1	*pəj		p		əj		0579a	U+975E	is not
匪	pj+jX	fei3	*pəjʔ		p		əjʔ		0579c	U+532A	bamboo basket
扉	pj+j	fei1	*pə[j]		p		ə[j]		0579d	U+6249	wooden door-leaf
誹	pj+j	fei3	*pə[j]		p		ə[j]		0579g	U+8AB9	slander
蜚	pj+jX	fei3	*pəjʔ		p		əjʔ		0579r	U+871A	noxious insect
妃	phj+j	fei1	*pʰ[ə][j]		pʰ		[ə][j]		0581a	U+5983	consort; match
肥	bj+j	fei2	*[b][ə]r		[b]		[ə]r		0582a	U+80A5	fat (adj.)
賁	bjun	fen2	*[b]ur		[b]		ur		0437a	U+8CC1	great, big
憤	bjunX	fen4	*[b]urʔ		[b]		urʔ		0437n	U+61A4	unhappy
分	pjun	fen1	*pə[n]		p		ə[n]		0471a	U+5206	divide
分	bjunH	fen4	*[m]-pə[n]-s	[m]-	p		ə[n]	-s	0471a	U+5206	alloted duty
粉	pjunX	fen3	*mə.pənʔ	mə.	p		ənʔ		0471d	U+7C89	flour
𦐈	pjun	fen1	*(Cə.)pə[r]	(Cə.)	p		ə[r]		0471e	U+26408	fly (v.), soar
糞	pjunH	fen4	*p[u]r-s		p		[u]r	-s	0472a	U+7CDE	manure, dirt
奮	pjunH	fen4	*(Cə.)pə[r]-s	(Cə.)	p		ə[r]	-s	0473a	U+596E	spread wings and fly
焚	bjun	fen2	*[b]u[n]		[b]		u[n]		0474a	U+711A	burn (v.)
豐	phjuwng	feng1	*pʰ(r)oŋ		pʰ	(r)	oŋ		1014a	U+8C50	kind of ritual vessel
豐	phjowng	feng1	*pʰ(r)oŋ		pʰ	(r)	oŋ		1014a	U+8C50	luxuriant, abundant (K)
封	pjowng	feng1	*p(r)oŋ		p	(r)	oŋ		1197i	U+5C01	raise a mound; enfeoff
鋒	phjowng	feng1	*pʰ(r)oŋ		pʰ	(r)	oŋ		1197u	U+92D2	point of a weapon
逢	bjowng	feng2	*[C.b](r)oŋ	[C.	b]	(r)	oŋ		1197o	U+9022	encounter (v.)
蜂	phjowng	feng1	*pʰ(r)oŋ		pʰ	(r)	oŋ		1197s	U+8702	bee
縫	bjowng	feng2	*(mə-)[b](r)oŋ	(mə-)	[b]	(r)	oŋ		1197x	U+7E2B	sew
縫	bjowngH	feng4	*C.[b](r)oŋ-s	C.	[b]	(r)	oŋ	-s	1197x	U+7E2B	seam
奉	bjowngX	feng4	*m-pʰ(r)oŋʔ	m-	pʰ	(r)	oŋʔ		1197z	U+5949	present (v.) with both hands
奉	phjowngX	feng4	*pʰ(r)oŋʔ		pʰ	(r)	oŋʔ		1197z	U+5949	hold with both hands; to present; receive
汎	bjuwng	fan4	*[b](r)[u]m		[b]	(r)	[u]m		0625f	U+6C4E	float about; universally
風	pjuwngH	feng4	*prəm-s		p	r	əm	-s	0625h	U+98A8	blow; criticize
風	pjuwng	feng1	*prəm		p	r	əm		0625h	U+98A8	wind (n.)
諷	pjuwngH	feng4	*prəm-s		p	r	əm	-s	0625o	U+8AF7	to recite
覆	phjuwH	fu4	*pʰ(r)uk-s		pʰ	(r)	uk	-s	1034m	U+8986	cover
缶	pjuwX	fou3	*p(r)uʔ		p	(r)	uʔ		1107a	U+7F36	earthenware
阜	bjuwX	fu4	*[b](r)uʔ		[b]	(r)	uʔ		1108a	U+961C	big mound
枹	bjuw	fu2	*[b](r)u		[b]	(r)	u		1113k	U+67B9	drum stick
仆	phjuwH	pu1	*pʰok-s		pʰ		ok	-s	1210g	U+4EC6	fall prostrate
蜉	bjuw	fu2	*[b](r)u		[b]	(r)	u		1233n	U+8709	mayfly
負	bjuwX	fu4	*[b]əʔ		[b]		əʔ		1000a	U+8CA0	carry on the back
婦	bjuwX	fu4	*mə.bəʔ	mə.	b		əʔ		1001a	U+5A66	woman, wife
扶	bju	fu2	*m-[p](r)a	m-	[p]	(r)	a		0101f	U+6276	crawl
扶	bju	fu2	*m-[p](r)a	m-	[p]	(r)	a		0101f	U+6276	assist
鋪	phju	fu1	*pʰ(r)a		pʰ	(r)	a		0102h'	U+92EA	spread out
甫	pjuX	fu3	*p(r)aʔ		p	(r)	aʔ		0102n	U+752B	begin
甫	pjuX	fu3	*praʔ		p	r	aʔ		0102n	U+752B	great
脯	pjuX	fu3	*p(r)aʔ		p	(r)	aʔ		0102r	U+812F	dried meat
傅	pjuH	fu4	*p(r)a(ʔ)-s		p	(r)	a(ʔ)	-s	0102u'	U+5085	teacher
傅	bjuH	fu4	*[b](r)[a]-s		[b]	(r)	[a]	-s	0102u'	U+5085	be attached
輔	bjuX	fu3	*[b](r)aʔ		[b]	(r)	aʔ		0102v	U+8F14	help
复	bjuwk	fu4	*m-p(r)uk	m-	p	(r)	uk		1034a	U+590D	return
復	bjuwH	fu4	*[N]-pruk-s	[N]-	p	r	uk	-s	1034d	U+5FA9	again
輹	bjuwk	fu4	*m-p(r)uk	m-	p	(r)	uk		1034g	U+8F39	support under box of carriage
複	pjuwk	fu4	*p(r)uk		p	(r)	uk		1034i	U+8907	double, lined (garment)
覆	phjuwk	fu4	*pʰ(r)uk		pʰ	(r)	uk		1034m	U+8986	turn over
撫	phjuX	fu3	*[pʰ](r)aʔ		[pʰ]	(r)	aʔ		0103p	U+64AB	lay the hand on
賦	pjuH	fu4	*p(r)a-s		p	(r)	a	-s	0104g	U+8CE6	tax
賦	pjuH	fu4	*p(r)a-s		p	(r)	a	-s	0104g	U+8CE6	ballad
仆	phjuH	pu1	*pʰ(r)ok-s		pʰ	(r)	ok	-s	1210g	U+4EC6	fall prostrate
赴	phjuH	fu4	*pʰ(r)ok-s		pʰ	(r)	ok	-s	1210i	U+8D74	hasten to
付	pjuH	fu4	*p(r)o-s		p	(r)	o	-s	0136a	U+4ED8	give
府	pjuX	fu3	*p(r)oʔ		p	(r)	oʔ		0136c	U+5E9C	repository
附	bjuH	fu4	*N-p(r)oʔ-s	N-	p	(r)	oʔ	-s	0136k	U+9644	be attached to
符	bju	fu2	*[b](r)o		[b]	(r)	o		0136m	U+7B26	a tally
紱	pjut	fu2	*put		p		ut		0276k	U+7D31	silk band for a seal
弗	pjut	fu2	*put		p		ut		0500a	U+5F17	gust of wind
弗	pjut	fu2	*p[u]t		p		[u]t		0500a	U+5F17	(negation)
刜	phjut	fu2	*pʰ[u]t		pʰ		[u]t		0500f	U+521C	chop (v.)
彿	phjut	fu2	*pʰ[u]t		pʰ		[u]t		0500i	U+5F7F	phjangX.phjut seem
茀	pjut	fu2	*p[u]t		p		[u]t		0500k	U+8300	remove dense vegetation
茀	phjut	fu2	*pʰ[u]t		pʰ		[u]t		0500k	U+8300	shrubby
佛	bjut	fu2	*[b][u]t		[b]		[u]t		0500l	U+4F5B	great
怫	bjut	fu2	*[b][u]t		[b]		[u]t		0500o	U+602B	grieved, annoyed
艴	phjut	fu2	*pʰ[u]t		pʰ		[u]t		0500p	U+8274	annoyed looks
膚	pju	fu1	*pra		p	r	a		0069g	U+819A	skin
縛	bjak	fu4	*bak		b		ak		0771m	U+7E1B	bind (v.)
畐	bjuwk	fu2	*[b]ək		[b]		ək		0933a	U+7550	fullness
輻	pjuwk	fu2	*pək		p		ək		0933j	U+8F3B	spokes of a wheel
匐	bjuwk	fu2	*[b]ək		[b]		ək		0933m	U+5310	crawl (bu.bjuwk)
富	pjuwH	fu4	*pək-s		p		ək	-s	0933r	U+5BCC	rich; wealth
副	phjuwH	fu4	*pʰək-s		pʰ		ək	-s	0933s	U+526F	secondary
𠬝	bjuwk	fu2	*[b]ək		[b]		ək		0934a	U+20B1D	subdue; submit
伏	bjuwk	fu2	*[b]ək		[b]		ək		0935a	U+4F0F	lie prostrate
伏	bjuwH	fu2	*[b]ək-s		[b]		ək	-s	0935a	U+4F0F	hatch (v.)
亥	hojX	hai4	*[g]ˤəʔ		[g]ˤ		əʔ		0937a	U+4EA5	12th earthly branch
孩	hoj	hai2	*[g]ˤə		[g]ˤ		ə		0937h	U+5B69	child
劾	hojH	he2	*[g]ˤək-s		[g]ˤ		ək	-s	0937x	U+52BE	investigate
海	xojX	hai3	*m̥ˤəʔ		m̥ˤ		əʔ		0947x	U+6D77	sea
罕	xanX	han3	*qʰˤa[r]ʔ		qʰˤ		a[r]ʔ		0139f'	U+7F55	rare
罕	xanX	han3	*qʰˤa[r]ʔ		qʰˤ		a[r]ʔ		0139f'	U+7F55	net
扞	hanH	han4	*m-kˤa[r]-s	m-	kˤ		a[r]	-s	0139q	U+625E	ward off; protect, guard
旱	hanX	han4	*[g]ˤa[r]ʔ		[g]ˤ		a[r]ʔ		0139s	U+65F1	dry, drought
汗	hanH	han4	*Cə.[g]ˤa[r]-s	Cə.	[g]ˤ		a[r]	-s	0139t	U+6C57	sweat (n.)
翰	hanH	han4	*[g]ˤar		[g]ˤ		ar		0140f	U+7FF0	white (of a horse)
翰	hanH	han4	*[g]ˤar-s		[g]ˤ		ar	-s	0140f	U+7FF0	pheasant; feather, wing
翰	hanH	han4	*m-kˤar-s	m-	kˤ		ar	-s	0140f	U+7FF0	prop up, support
翰	hanH	han4	*[g]ˤar-s		[g]ˤ		ar	-s	0140f	U+7FF0	high
寒	han	han2	*Cə.[g]ˤa[n]	Cə.	[g]ˤ		a[n]		0143a	U+5BD2	cold
暵	xanX	han4	*n̥ˤarʔ		n̥ˤ		arʔ		0144a	U+66B5	scorch, burn
厂	xanH	han4	*ŋ̊ˤar(ʔ)-s		ŋ̊ˤ		ar(ʔ)	-s	0145a	U+5382	cliff
酣	ham	han1	*[g]ˤam		[g]ˤ		am		0606g	U+9163	half-drunk
檻	haemX	jian4	*[g]ˤramʔ		[g]ˤ	r	amʔ		0609g	U+6ABB	straight-jetted (water)
檻	hamX	jian4	*[g]ˤamʔ		[g]ˤ		amʔ		0609g	U+6ABB	railing; cage
圅	hom	han2	*Cə-m-kˤ[ə]m	Cə-m-	kˤ		[ə]m		0643a	U+5705	contain
涵	hom	han2	*[g]ˤ[o]m		[g]ˤ		[o]m		0643g	U+6DB5	soak, overflow
