ID	TAXA	TAXA_WITH_TONES	CHINESE_TAXA	GLOSS	PINYIN	NUMBER	READING	IPA	TOKENS	ALIGNMENT	PROTO	PROTO_TOKENS	BAXTER	ZGYY	COGID
128	Xiamen	Xiàmén	厦门	法	fǎ	5	huat³²	huat³²	h u a t ³²	h u a t ³²	pjop⁴	p j o p ⁴	pjop	咸合三入乏非	5
129	Taibei	Táiběi	台北	法	fǎ	5	huat³²	huat³²	h u a t ³²	h u a t ³²	pjop⁴	p j o p ⁴	pjop	咸合三入乏非	5
130	Hefei	Héféi	合肥	法	fǎ	5	fɐɁ⁵	fɐʔ⁵	f ɐ ʔ ⁵	f - ɐ ʔ ⁵	pjop⁴	p j o p ⁴	pjop	咸合三入乏非	5
131	Huhehaote	Hūhèhàotè	呼和浩特	法	fǎ	5	faɁ⁴³	faʔ⁴³	f a ʔ ⁴³	f - a ʔ ⁴³	pjop⁴	p j o p ⁴	pjop	咸合三入乏非	5
132	Haerbin	Hāěrbīn	哈尔滨	法	fǎ	5	fa²¹³	fa²¹³	f a ²¹³	f - a - ²¹³	pjop⁴	p j o p ⁴	pjop	咸合三入乏非	5
133	Tianjin	Tiānjīn	天津	法	fǎ	5	fɑ⁴⁵~子fɑ¹³方~，~国	fɑ⁴⁵	f ɑ ⁴⁵	f - ɑ - ⁴⁵	pjop⁴	p j o p ⁴	pjop	咸合三入乏非	5
134	Taiyuan	Tàiyuán	太原	法	fǎ	5	faɁ²	faʔ²	f a ʔ ²	f - a ʔ ²	pjop⁴	p j o p ⁴	pjop	咸合三入乏非	5
135	Tunxi	Tūnxī	屯溪	法	fǎ	5	fu:ə⁵	fuːə⁵	f uː ə ⁵	f - uː ə ⁵	pjop⁴	p j o p ⁴	pjop	咸合三入乏非	5
136	Pingyao	Píngyáo	平遥	法	fǎ	5	xuʌɁ¹³	xuʌʔ¹³	x u ʌ ʔ ¹³	x u ʌ ʔ ¹³	pjop⁴	p j o p ⁴	pjop	咸合三入乏非	5
137	Guangzhou	Guǎngzhōu	广州	法	fǎ	5	fat³	fat³	f a t ³	f - a t ³	pjop⁴	p j o p ⁴	pjop	咸合三入乏非	5
138	Jianou	Jiànōu	建瓯	法	fǎ	5	xua²⁴	xua²⁴	x u a ²⁴	x u a - ²⁴	pjop⁴	p j o p ⁴	pjop	咸合三入乏非	5
139	Chengdu	Chéngdū	成都	法	fǎ	5	fa³¹	fa³¹	f a ³¹	f - a - ³¹	pjop⁴	p j o p ⁴	pjop	咸合三入乏非	5
